Date,Price,Oil_Price,USD_Index,Trade_Weighted_Dollar,CPI,Volume,US_Tariff_Index,Sanction_Intensity,Russia_Sanction_Intensity,Price_cap,Oil_lag1,Oil_lag7,Oil_ma7,USD_lag1,USD_lag7,USD_ma7
2022-07-01,1798.9000244140625,110.3,121.5123,115.68888699748314,294.94,305338.0,114.5536916058612,92.12054794520547,95.0,1798.9000244140625,107.76,109.07,110.76,120.9718,120.4897,120.7037
2022-07-02,1789.6250305175781,108.1125,121.791125,116.05509716577012,294.94,229019.5,114.55692588925491,92.14520547945204,95.0,1789.6250305175781,110.3,109.86,110.51035714285715,121.5123,120.3861,120.90441785714286
2022-07-03,1780.3500366210938,105.925,122.06995,116.42130733405709,294.94,152701.0,114.56016017264862,92.16986301369862,95.0,1780.3500366210938,108.1125,110.64999999999999,109.83535714285713,121.791125,120.2825,121.15976785714285
2022-07-04,1771.0750427246094,103.7375,122.348775,116.78751750234407,294.94,76382.5,114.56339445604233,92.19452054794519,95.0,1771.0750427246094,105.925,111.44,108.735,122.06995,120.1789,121.46975
2022-07-05,1761.800048828125,101.55,122.6276,117.15372767063104,294.94,64.0,114.56662873943604,92.21917808219176,95.0,1761.800048828125,103.7375,113.66,107.005,122.348775,120.6254,121.75577857142856
2022-07-06,1734.9000244140625,100.31,123.0165,115.43760841678017,294.94,444106.0,114.61302203763856,92.24383561643836,95.0,1734.9000244140625,101.55,111.65,105.385,122.6276,120.9689,122.04829285714287
2022-07-07,1737.9000244140625,104.62,122.7336,115.42865624993006,294.94,379861.0,117.0535696312362,92.26849315068492,95.0,1737.9000244140625,100.31,107.76,104.93642857142858,123.0165,120.9718,122.29997857142857
2022-07-08,1740.5999755859375,106.78,122.4724,117.04044539136008,294.94,370.0,115.20499546389628,92.2931506849315,95.0,1740.5999755859375,104.62,110.3,104.43357142857143,122.7336,121.5123,122.4371357142857
2022-07-09,1737.066650390625,106.55,122.75033333333333,116.25662047864247,294.94,271.6666666666667,115.19389302607405,92.31780821917808,95.0,1737.066650390625,106.78,108.1125,104.21035714285713,122.4724,121.791125,122.57416547619049
2022-07-10,1733.5333251953125,106.32000000000001,123.02826666666667,115.47279556592488,294.94,173.33333333333331,115.18279058825183,92.34246575342466,95.0,1733.5333251953125,106.55,105.925,104.26678571428572,122.75033333333333,122.06995,122.71106785714285
2022-07-11,1730.0,106.09,123.3062,114.68897065320728,294.94,75.0,115.1716881504296,92.36712328767123,95.0,1730.0,106.32000000000001,103.7375,104.60285714285715,123.02826666666667,122.348775,122.84784285714287
2022-07-12,1723.300048828125,97.69,123.4612,116.1126529325574,294.94,214.0,115.08125745064612,92.3917808219178,95.0,1723.300048828125,106.09,101.55,104.05142857142857,123.3062,122.6276,122.96692857142857
2022-07-13,1734.199951171875,98.44,123.293,115.66197678401596,294.94,347193.0,115.4806631162583,92.4164383561644,95.0,1734.199951171875,97.69,100.31,103.78428571428572,123.4612,123.0165,123.00642857142857
2022-07-14,1704.5,97.79,124.0717,113.07275231635344,294.94,1289.0,115.30044340764384,92.44109589041096,95.0,1704.5,98.44,104.62,102.80857142857143,123.293,122.7336,123.19758571428572
2022-07-15,1702.4000244140625,99.59,123.4842,114.68680387316935,294.94,721.0,116.36390233108465,92.46575342465756,95.0,1702.4000244140625,97.79,106.78,101.78142857142858,124.0717,122.4724,123.34212857142857
2022-07-16,1704.6666666666667,101.22,123.24946666666666,115.02018166835705,294.94,28703.666666666668,115.82228712785361,92.49041095890414,95.0,1704.6666666666667,99.59,106.55,101.02000000000001,123.4842,122.75033333333333,123.41343333333334
2022-07-17,1706.9333089192708,102.85000000000001,123.01473333333334,115.35355946354474,294.94,56686.333333333336,115.2806719246226,92.5150684931507,95.0,1706.9333089192708,101.22,106.32000000000001,100.52428571428571,123.24946666666666,123.02826666666667,123.41150000000002
